Rk,Player,Nation,Pos,Team,Comp,Age,Born,Match,Starts,Min,Goals,Shots,SoT,Assists,CrdY,CrdR,TklW
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,2000,20,19,1596,1,1.53,0.28,0.11,0.11,0,0.51
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,22,22,1980,0,0.86,0.05,0.05,0.09,0,1.59
3,Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,1999,14,8,770,0,1.05,0.35,0,0.12,0,1.4
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,20,20,1799,1,0.6,0.15,0,0.15,0,0.8
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,15,15,1165,0,0.31,0,0.08,0.16,0,2.02
6,Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,1,0,11,0,0,0,0,0,0,10
7,Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,2003,5,2,185,1,4.29,1.43,0,0,0,0.48
8,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,11,0,107,1,5,1.67,0,0,0,0.83
9,Abner,BRA,DF,Betis,La Liga,22,2000,4,3,272,0,0.67,0.33,0,0,0,2.33
10,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,22,17,1507,5,2.75,1.02,0.24,0.18,0,0.72
11,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,22,18,1582,6,2.67,1.25,0.17,0.06,0,0.4
12,Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,14,12,1110,0,0.49,0,0.08,0.24,0,0.57
13,Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2002,2,0,36,0,2.5,0,0,0,0,2.5
14,Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,16,12,985,2,1.47,0.37,0.09,0.46,0.09,1.74
15,Che Adams,SCO,FW,Southampton,Premier League,26,1996,21,18,1577,4,2.06,0.74,0.11,0,0,0.69
16,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,19,19,1706,0,0.11,0,0,0.26,0.05,2
17,Sargis Adamyan,ARM,FWMF,Köln,Bundesliga,29,1993,16,3,471,1,3.46,1.73,0.19,0.38,0,1.15
18,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,14,12,1095,1,0.33,0.16,0,0.16,0,0.41
19,Martin Adeline,FRA,MFFW,Reims,Ligue 1,19,2003,5,0,107,0,0.83,0,0,1.67,0,2.5
20,Karim Adeyemi,GER,FWMF,Dortmund,Bundesliga,21,2002,15,11,765,2,2.24,0.94,0.12,0.59,0,0.71
21,Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,2000,13,6,652,1,1.94,0.69,0.28,0.14,0,1.11
22,Yacine Adli,FRA,MFFW,Milan,Serie A,22,2000,4,1,116,0,1.54,1.54,0,0.77,0,2.31
23,Michel Aebischer,SUI,FWMF,Bologna,Serie A,26,1997,18,8,775,1,1.16,0.23,0,0.35,0,0.12
24,Felix Afena-Gyan,GHA,FWMF,Cremonese,Serie A,20,2003,12,2,359,0,2.5,0.25,0,0.25,0,0.5
25,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,19,18,1599,0,0.79,0.11,0.11,0.11,0.11,1.63
26,Lucien Agoume,FRA,MF,Troyes,Ligue 1,21,2002,5,4,286,0,0.31,0,0,0.63,0,2.19
27,Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,23,1999,3,0,49,0,2,0,0,0,0,0
28,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,19,12,1130,0,0.71,0.16,0.16,0.16,0,0.48
29,Kevin Agudelo,COL,MFFW,Spezia,Serie A,24,1998,21,16,1443,0,1.13,0.31,0,0.13,0,1.38
30,Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,6,5,515,0,0.88,0,0,0.53,0,1.58
31,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13,7,615,0,0.29,0.29,0,0.29,0,0.74
32,Naouirou Ahamada,FRA,MFFW,Crystal Palace,Premier League,20,2002,2,0,16,0,5,0,0,0,0,0
33,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,17,17,1398,2,1.03,0.32,0.13,0.26,0.06,0.71
34,Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,1,0,20,0,0,0,0,0,0,5
35,Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,19,10,834,1,0.97,0.32,0,0.32,0.11,1.4
36,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,20,20,1800,2,0.45,0.1,0,0.15,0,1.05
37,Ola Aina,NGA,DF,Torino,Serie A,26,1996,12,8,676,1,0.93,0.4,0.13,0.53,0,1.33
38,Rayan Aït Nouri,FRA,DF,Wolves,Premier League,21,2001,17,9,913,1,0.99,0.5,0,0.3,0,1.58
39,Emanuel Aiwum,AUT,DF,Cremonese,Serie A,22,2000,15,11,1029,0,0.26,0.09,0,0.18,0,2.28
40,Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,9,9,763,0,0.12,0,0,0,0,0.94
41,Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,13,9,771,1,2.56,0.81,0,0.12,0,0.47
42,Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,28,1994,4,3,231,0,2.69,0.77,0.38,0.38,0,0
43,Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,15,14,1286,0,0.77,0.14,0.07,0.07,0,1.05
44,Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,15,13,1156,0,0.31,0,0,0,0,0.55
45,Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,21,21,1890,0,1.05,0.29,0,0.19,0,0.76
46,Maghnes Akliouche,FRA,MFDF,Monaco,Ligue 1,20,2002,6,3,248,0,0.36,0.36,0,1.07,0,1.07
47,Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,6,2,238,0,0.77,0.38,0,0.77,0,1.92
48,Jean-Daniel Akpa-Akpro,CIV,MF,Empoli,Serie A,30,1992,12,7,606,0,1.04,0.3,0,0.9,0.3,2.39
49,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,16,10,1030,0,0.53,0.09,0,0.53,0,1.93
50,David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,17,15,1365,1,0.59,0.07,0.2,0.2,0,0.53
51,Tomás Alarcón,CHI,MF,Cádiz,La Liga,24,1999,4,2,223,0,0.8,0.4,0,0.8,0.4,0.8
52,Lucas Alario,ARG,FW,Eint Frankfurt,Bundesliga,30,1992,12,2,248,1,3.21,0.71,0,0,0,0.71
53,Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,14,9,931,1,0.87,0.19,0.29,0.39,0.1,1.26
54,Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,19,11,1053,4,1.45,0.6,0.26,0.09,0,0.94
55,Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,17,17,1519,0,0.06,0,0,0.3,0,0.65
56,Marc Albrighton,ENG,FWMF,Leicester City,Premier League,33,1989,6,1,237,1,0.77,0.38,0,0,0,0.38
57,Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,14,14,1154,0,0.7,0.08,0,0.16,0,1.8
58,Carlos Alcaraz,ARG,MF,Southampton,Premier League,20,2002,3,1,134,1,2.67,0.67,0,0,0,1.33
59,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,16,11,1008,1,1.52,0.18,0,0.54,0.09,1.7
60,Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,8,7,630,0,0.71,0.14,0,0.43,0,0.29
61,Iván Alejo,ESP,MFFW,Cádiz,La Liga,28,1995,16,8,729,0,1.48,0.25,0.12,1.11,0.12,1.98
62,Doðan Alemdar,TUR,GK,Rennes,Ligue 1,20,2002,3,2,225,0,0,0,0,0,0,0
63,Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,19,19,1455,2,1.3,0.49,0.12,0.49,0,0.62
64,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,20,17,1441,1,1.31,0.19,0.06,0.19,0,1.06
65,Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,1,0,15,0,0,0,0,0,0,0
66,Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,14,9,747,0,0.36,0,0,0.24,0,0.84
67,Mohamed Ali Cho,FRA,FW,Real Sociedad,La Liga,19,2004,8,3,317,0,3.14,1.43,0.57,0.29,0,0.86
68,Faride Alidou,GER,DFMF,Eint Frankfurt,Bundesliga,21,2001,9,0,123,0,1.43,0,0,0,0,2.86
69,Alisson,BRA,GK,Liverpool,Premier League,30,1992,20,20,1800,0,0,0,0.05,0,0,0
70,Jim Allevinah,GAB,DFFW,Clermont Foot,Ligue 1,27,1995,21,13,1220,1,1.4,0.29,0,0.15,0,1.1
71,Dele Alli,ENG,MF,Everton,Premier League,26,1996,2,0,40,0,0,0,0,0,0,0
72,Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,18,14,1255,2,0.79,0.36,0.22,0.14,0,1.73
73,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,22,22,1816,10,2.33,0.74,0.05,0.05,0,1.19
74,Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,12,6,620,1,0.43,0.14,0,0.14,0,0.72
75,Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,17,9,854,0,0.74,0.11,0,0.11,0,1.05
76,Éder Álvarez Balanta,COL,MF,Schalke 04,Bundesliga,29,1993,1,1,58,0,0,0,0,1.67,0,3.33
77,Carlos Álvarez,ESP,FW,Sevilla,La Liga,19,2003,1,0,10,0,0,0,0,10,0,10
78,Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,10,5,571,2,0.32,0.32,0,0.32,0.16,1.43
79,Julián Álvarez,ARG,FWMF,Manchester City,Premier League,23,2000,16,5,578,4,2.97,1.25,0,0,0,0.78
80,Agustín Álvarez Martínez,URU,FWMF,Sassuolo,Serie A,21,2001,16,1,296,1,3.33,0.91,0.3,0.3,0,0.61
81,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,18,18,1565,1,0.34,0.06,0.06,0.17,0.06,0.8
82,Ibrahim Amadou,FRA,DFMF,Angers,Ligue 1,29,1993,6,4,401,0,0.44,0,0,0.44,0,1.33
83,Daniel Amartey,GHA,DF,Leicester City,Premier League,28,1994,17,15,1365,0,0.2,0.13,0,0.07,0,0.39
84,Amath,SEN,MFFW,Mallorca,La Liga,26,1996,14,3,494,1,1.82,0.73,0,0.36,0,1.82
85,Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,4,1,193,0,0,0,0,0.95,0.48,0.95
86,Kelvin Amian,FRA,DF,Spezia,Serie A,25,1998,15,11,1049,0,0.77,0.09,0.09,0.26,0,1.2
87,Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,1,1,58,0,0,0,0,1.67,0,1.67
88,Bruno Amione,ARG,DF,Sampdoria,Serie A,21,2002,10,10,790,0,0.57,0.11,0.11,0.57,0,1.59
89,Nadiem Amiri,GER,MFFW,Leverkusen,Bundesliga,26,1996,15,5,636,2,1.69,0.7,0.14,0.42,0,0.42
90,Ethan Ampadu,WAL,DFMF,Spezia,Serie A,22,2000,16,16,1360,0,0.79,0.26,0.07,0.33,0,1.66
91,Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,26,1996,18,14,1165,0,0.54,0.16,0,0.62,0,1.16
92,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,17,17,1477,1,0.67,0.3,0,0.18,0,0.67
93,Elliot Anderson,SCO,FWMF,Newcastle Utd,Premier League,20,2002,10,0,121,0,3.08,0.77,0,0,0,2.31
94,Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,22,20,1687,6,1.18,0.64,0.11,0.05,0,1.44
95,Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,20,20,1756,1,0.77,0.1,0.05,0.26,0,2.31
96,Komnen Andri?,SRB,FW,Clermont Foot,Ligue 1,27,1995,23,15,1250,4,1.94,0.79,0.14,0.22,0,0.29
97,Robert Andrich,GER,MF,Leverkusen,Bundesliga,28,1994,18,17,1416,2,1.02,0.25,0.13,0.32,0,1.59
98,Angeliño,ESP,DF,Hoffenheim,Bundesliga,26,1997,19,18,1597,0,0.62,0.17,0.28,0.11,0,0.45
99,Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,8,7,510,0,0.53,0,0,0.35,0.18,0.88
100,Jaidon Anthony,ENG,MFFW,Bournemouth,Premier League,23,1999,17,7,783,3,1.95,1.15,0,0.11,0,1.49
101,Janis Antiste,FRA,FW,Sassuolo,Serie A,20,2002,2,0,52,1,1.67,1.67,0,0,0,0
102,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,20,20,1794,1,0.75,0.2,0,0.15,0,1.01
103,Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,11,3,311,0,0,0,0,0.29,0,1.14
104,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,21,11,1051,2,2.05,0.68,0.17,0.09,0,0.51
105,Antony,BRA,FW,Manchester Utd,Premier League,22,2000,12,11,908,3,3.27,1.39,0,0.3,0,0.3
106,Valentin Antov,BUL,DF,Monza,Serie A,22,2000,4,1,172,0,0,0,0,0,0,2.11
107,Christopher Antwi-Adjei,GHA,FWMF,Bochum,Bundesliga,29,1994,15,8,788,2,1.48,0.45,0.68,0,0,0.91
108,Anuar,MAR,MFFW,Valladolid,La Liga,28,1995,3,3,210,1,1.3,0.43,0,0.43,0,1.74
109,Houssem Aouar,FRA,MF,Lyon,Ligue 1,24,1998,9,6,402,1,1.33,0.67,0.22,0.44,0,0.67
110,Adil Aouchiche,FRA,MFFW,Lorient,Ligue 1,20,2002,6,0,85,0,3.33,1.11,0,0,0,0
111,Dennis Appiah,FRA,DFMF,Nantes,Ligue 1,30,1992,15,9,795,0,0.57,0.11,0,0.11,0,1.25
112,Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,7,7,587,0,0.92,0,0.15,0.31,0.15,0.62
113,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,10,4,493,1,0.91,0.36,0,0.18,0,1.27
114,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,10,10,859,0,0.63,0,0.11,0.32,0,0.95
115,Cameron Archer,ENG,FWMF,Aston Villa,Premier League,21,2001,6,0,49,0,0,0,0,0,0,0
116,Taïryk Arconte,FRA,FWMF,Brest,Ligue 1,19,2003,2,0,32,0,2.5,2.5,0,0,0,0
117,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,2,0,107,0,0,0,0,0,0,0
118,Joe Aribo,NGA,MFFW,Southampton,Premier League,26,1996,19,11,1094,2,1.07,0.66,0,0.16,0,1.56
119,Adam Armstrong,ENG,FW,Southampton,Premier League,26,1997,20,12,1027,1,1.67,0.79,0.09,0,0,0.53
120,Stuart Armstrong,SCO,MFFW,Southampton,Premier League,30,1992,18,7,767,1,1.53,0.35,0,0.35,0,0.94
121,Marko Arnautovi?,AUT,FW,Bologna,Serie A,33,1989,14,14,1189,8,1.59,0.76,0,0.3,0,0.38
122,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,20,20,1728,4,1.04,0.36,0.1,0.21,0,0.89
123,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,28,1994,14,14,1215,0,0,0,0,0,0,0.15
124,Roberto Arroyo,ESP,MF,Valladolid,La Liga,19,2003,1,0,15,0,0,0,0,0,0,5
125,Tolgay Arslan,GER,MF,Udinese,Serie A,32,1990,20,10,815,1,2.09,0.55,0,0.11,0,0.99
126,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,16,6,663,3,3.24,1.22,0.14,0.14,0,0.27
127,Santiago Arzamendia,PAR,MFDF,Cádiz,La Liga,24,1998,8,3,299,0,0.91,0.3,0,0,0,1.21
128,Takuma Asano,JPN,FWMF,Bochum,Bundesliga,28,1994,11,8,637,1,2.68,0.85,0,0,0,0.42
129,Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,13,7,727,0,1.73,0.37,0,0.12,0,1.73
130,Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,5,5,450,0,0,0,0,0,0,0
131,Marco Asensio,ESP,FWMF,Real Madrid,La Liga,27,1996,15,5,500,2,3.75,1.07,0.54,0.18,0,0.89
132,Kristoffer Askildsen,NOR,MF,Lecce,Serie A,22,2001,16,6,592,0,1.36,0.45,0,0.45,0,0.45
133,Fisnik Asllani,KVX,FWMF,Hoffenheim,Bundesliga,20,2002,4,0,60,0,2.86,0,0,0,0,0
134,Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,12,2,295,0,1.82,0,0,0.61,0,1.21
135,Iago Aspas,ESP,FW,Celta Vigo,La Liga,35,1987,20,18,1662,9,2.27,1.03,0.16,0.22,0,0.05
136,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,6,2,194,0,1.36,0.45,0.45,0.91,0,0.91
137,Youcef Atal,ALG,DFMF,Nice,Ligue 1,26,1996,13,7,637,1,1.27,0.7,0,0.14,0,2.68
138,Pierre-Emerick Aubameyang,GAB,FW,Chelsea,Premier League,33,1989,11,4,433,1,2.08,1.04,0,0.21,0,0
139,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,33,1989,1,0,9,0,10,0,0,0,0,0
140,Emil Audero,ITA,GK,Sampdoria,Serie A,26,1997,21,21,1890,0,0,0,0,0.05,0,0
141,Tommaso Augello,ITA,DF,Sampdoria,Serie A,28,1994,20,18,1626,1,0.33,0.11,0.11,0.06,0,0.39
142,Ludwig Augustinsson,SWE,DF,Aston Villa,Premier League,28,1994,3,1,77,0,2.22,1.11,0,1.11,0,1.11
143,Ludwig Augustinsson,SWE,DF,Mallorca,La Liga,28,1994,1,1,71,0,0,0,0,0,0,0
144,Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,30,1992,14,12,1082,1,0.5,0.17,0,0.17,0,2
145,Mathias Autret,FRA,MFFW,Auxerre,Ligue 1,31,1991,19,15,1191,2,1.52,0.83,0.15,0,0,0.76
146,Ezequiel Ávila,ARG,FWMF,Osasuna,La Liga,29,1994,18,16,1161,7,3.1,1.4,0.16,0.39,0.08,0.23
147,Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,36,1986,14,12,1102,1,0.16,0.08,0,0.08,0.08,0.25
148,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,25,1997,16,9,730,4,2.35,0.99,0,0,0,0.99
149,Mehmet-Can Aydin,GER,DF,Schalke 04,Bundesliga,21,2002,10,1,295,0,1.52,0,0,0,0,2.73
150,André Ayew,GHA,FW,Nott'ham Forest,Premier League,33,1989,2,0,29,0,0,0,0,0,0,0
151,Jordan Ayew,GHA,FWMF,Crystal Palace,Premier League,31,1991,22,18,1497,1,0.78,0.36,0.06,0.06,0,1.81
152,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,28,1994,10,5,545,0,0.16,0.16,0,0.16,0,0.66
153,Luke Ayling,ENG,DF,Leeds United,Premier League,31,1991,14,7,704,0,0.9,0.13,0.13,0.13,0,1.79
154,Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,1,0,1,0,0,0,0,0,0,0
155,Sardar Azmoun,IRN,MFFW,Leverkusen,Bundesliga,28,1995,10,2,311,0,3.43,1.14,0,0.29,0,0.57
156,César Azpilicueta,ESP,DF,Chelsea,Premier League,33,1989,18,10,1023,0,0.44,0.09,0,0.26,0,1.32
157,Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,19,2004,1,0,1,0,0,0,0,0,0,0
158,Iddrisu Baba,GHA,MF,Mallorca,La Liga,27,1996,17,12,995,0,0.63,0,0,0.36,0,0.99
159,Sr?an Babi?,SRB,DF,Almería,La Liga,26,1996,18,17,1575,1,0.29,0.17,0,0.17,0,0.46
160,Loïc Bade,FRA,DF,Sevilla,La Liga,22,2000,6,5,448,0,0.2,0,0,0,0,1.2
161,Loïc Bade,FRA,DF,Rennes,Ligue 1,22,2000,1,1,90,0,2,0,1,1,0,1
162,Édgar Badía,ESP,GK,Elche,La Liga,31,1992,20,20,1800,0,0,0,0,0.1,0,0
163,Benoît Badiashile,FRA,DF,Chelsea,Premier League,21,2001,4,4,360,0,1,0.25,0,0.25,0,0.5
164,Benoît Badiashile,FRA,DF,Monaco,Ligue 1,21,2001,11,9,839,2,0.54,0.32,0,0.32,0,0.86
165,Alex Baena,ESP,MFFW,Villarreal,La Liga,21,2001,18,10,1039,4,2.96,1.13,0.09,0.87,0.09,0.78
166,Jaime Báez,URU,DF,Cremonese,Serie A,27,1995,2,1,96,0,1.82,0,0,0,0,1.82
167,Leon Bailey,JAM,FWMF,Aston Villa,Premier League,25,1997,20,17,1317,4,2.4,0.82,0.14,0.27,0,0.34
168,Eric Bailly,CIV,DF,Marseille,Ligue 1,28,1994,7,3,351,0,0.51,0,0,0.26,0,1.54
169,Dénys Bain,FRA,DF,Auxerre,Ligue 1,29,1993,2,1,126,0,0,0,0,0,0,2.14
170,Brandon Baiye,BEL,MF,Clermont Foot,Ligue 1,22,2000,7,0,51,0,0,0,0,0,0,3.33
171,Stefan Bajcetic,ESP,MF,Liverpool,Premier League,18,2004,5,2,194,1,0.91,0.45,0,0.45,0,0.91
172,Nedim Bajrami,ALB,MFFW,Empoli,Serie A,23,1999,19,8,941,1,2,0.67,0.1,0.1,0,0.38
173,Nedim Bajrami,ALB,MF,Sassuolo,Serie A,23,1999,1,0,24,0,6.67,3.33,0,0,0,0
174,Cédric Bakambu,COD,MF,Marseille,Ligue 1,31,1991,3,0,59,0,0,0,1.43,0,0,1.43
175,Mitchel Bakker,NED,MFDF,Leverkusen,Bundesliga,22,2000,17,11,968,2,0.93,0.37,0.09,0.37,0.09,0.65
176,Ridle Baku,GER,DF,Wolfsburg,Bundesliga,24,1998,20,19,1730,5,1.09,0.47,0.05,0.21,0,0.68
177,Tommaso Baldanzi,ITA,MF,Empoli,Serie A,19,2003,13,11,769,4,1.41,0.82,0,0,0,0.82
178,Alejandro Balde,ESP,DF,Barcelona,La Liga,19,2003,18,15,1210,0,0.45,0.15,0.3,0.15,0,1.34
179,Thierno Balde,FRA,DF,Troyes,Ligue 1,20,2002,18,16,1319,0,0.27,0,0,0.07,0,0.75
180,Carlos Baleba,CMR,MF,Lille,Ligue 1,19,2004,9,3,269,0,2,0.33,0,0.67,0.33,3
181,Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,34,1988,1,0,45,0,0,0,0,0,0,4
182,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,24,1999,23,20,1765,0,0.15,0,0.05,0.2,0,1.07
183,Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,31,1992,20,20,1793,0,0.25,0.05,0,0.15,0,0.65
184,Fodé Ballo-Touré,SEN,DF,Milan,Serie A,26,1997,3,2,196,1,0.45,0.45,0,0,0,0.45
185,Folarin Balogun,ENG,FW,Reims,Ligue 1,21,2001,21,18,1591,14,3.33,1.58,0.06,0.17,0,0.11
186,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,32,1990,9,4,555,0,0,0,0,0.32,0,1.13
187,Jonathan Bamba,FRA,FW,Lille,Ligue 1,26,1996,18,16,1454,4,2.47,0.93,0.19,0.19,0,0.49
188,Patrick Bamford,ENG,FW,Leeds United,Premier League,29,1993,14,6,593,1,3.03,1.36,0.3,0,0,0.45
189,Lameck Banda,ZAM,FWMF,Lecce,Serie A,22,2001,22,11,1051,1,1.79,0.6,0.09,0.26,0,0.94
190,Filippo Bandinelli,ITA,MF,Empoli,Serie A,27,1995,22,18,1506,2,1.08,0.3,0,0.24,0,1.32
191,Léo Baptistão,BRA,FWMF,Almería,La Liga,30,1992,16,13,949,3,2.95,0.86,0.1,0.48,0,1.33
192,Shandon Baptiste,GRN,MF,Brentford,Premier League,24,1998,12,4,431,0,0.42,0.21,0,0.21,0,1.04
193,Antonín Barák,CZE,MF,Hellas Verona,Serie A,28,1994,1,0,25,0,0,0,0,0,0,0
194,Antonín Barák,CZE,MF,Fiorentina,Serie A,28,1994,17,11,999,1,1.44,0.27,0,0.18,0,0.63
195,Andrea Barberis,ITA,MF,Monza,Serie A,29,1993,7,3,316,0,0.57,0,0.29,0,0,0.57
196,Bradley Barcola,FRA,FWMF,Lyon,Ligue 1,20,2002,12,3,336,1,2.7,0.81,0.27,0,0,1.35
197,Melvin Bard,FRA,DF,Nice,Ligue 1,22,2000,20,16,1498,0,0.18,0,0,0.24,0,2.29
198,Keidi Bare,ALB,MF,Espanyol,La Liga,25,1997,11,3,330,0,1.08,0.54,0,0,0,0.81
199,Nicolò Barella,ITA,MF,Inter,Serie A,26,1997,20,19,1609,5,0.95,0.45,0.28,0.22,0,0.73
200,Kike Barja,ESP,FWMF,Osasuna,La Liga,25,1997,10,4,387,1,0.93,0.7,0.23,0,0,0.23
201,Ross Barkley,ENG,FWMF,Nice,Ligue 1,29,1993,15,6,615,3,3.24,1.18,0.15,0.15,0,0.59
202,Aymen Barkok,MAR,MF,Mainz 05,Bundesliga,24,1998,11,2,307,0,2.35,0.29,0.29,0,0,1.47
203,Harvey Barnes,ENG,MFFW,Leicester City,Premier League,25,1997,20,20,1696,8,2.5,1.22,0.05,0.05,0,0.59
204,Leandro Barreiro Martins,LUX,MF,Mainz 05,Bundesliga,23,2000,18,12,1083,0,1.33,0.58,0.17,0.25,0,1.5
205,Ander Barrenetxea,ESP,FWDF,Real Sociedad,La Liga,21,2001,7,2,191,1,0.95,0.95,0,0.95,0,1.43
206,Mickaël Barreto,FRA,MF,Ajaccio,Ligue 1,32,1991,7,3,343,0,1.05,0,0.26,0,0,1.58
207,Pablo Barrios,ESP,MF,Atlético Madrid,La Liga,19,2003,5,3,269,0,1.67,0.67,0,0.33,0,1.33
208,Musa Barrow,GAM,FWMF,Bologna,Serie A,24,1998,15,10,763,2,3.29,0.71,0.12,0.12,0,0.24
209,Federico Baschirotto,ITA,DF,Lecce,Serie A,26,1996,22,22,1980,3,0.55,0.14,0,0.18,0,0.73
210,Toma Bai?,CRO,MF,Lazio,Serie A,26,1996,14,4,373,0,1.46,0.73,0,0.24,0,0.73
211,Gil Bastião Dias,POR,FW,Stuttgart,Bundesliga,26,1996,2,1,113,0,3.08,0.77,0,0,0,0
212,Alessandro Bastoni,ITA,DF,Inter,Serie A,23,1999,17,15,1267,0,0.71,0.21,0.14,0.14,0,0.85
213,Simone Bastoni,ITA,MFDF,Spezia,Serie A,26,1996,13,12,946,2,1.9,0.57,0.19,0.38,0,1.71
214,Rodrigo Battaglia,ARG,MF,Mallorca,La Liga,31,1991,13,8,660,0,0.27,0,0,0.68,0,0.68
215,Maximilian Bauer,GER,DF,Augsburg,Bundesliga,23,2000,15,12,1040,0,0.69,0,0,0.52,0,0.86
216,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,32,1990,20,20,1800,0,0,0,0,0,0,0
217,Timo Baumgartl,GER,DF,Union Berlin,Bundesliga,26,1996,4,4,314,0,1.14,0.57,0,0.29,0,1.43
218,Julian Baumgartlinger,AUT,MF,Augsburg,Bundesliga,35,1988,7,2,278,0,0.97,0,0,0,0,0.65
219,Christoph Baumgartner,AUT,MFFW,Hoffenheim,Bundesliga,23,1999,20,20,1600,5,2.53,0.73,0.17,0.22,0,0.62
220,Cyrille Bayala,BFA,MF,Ajaccio,Ligue 1,26,1996,22,16,1266,1,1.06,0.35,0.07,0.21,0,1.99
221,Brian Bayeye,FRA,DF,Torino,Serie A,22,2000,1,1,54,0,0,0,0,0,0,0
