Rk,Player,Nation,Pos,Team,Comp,Age,Born,Match,Starts,Min,Goals,Shots,SoT,Assists,CrdY,CrdR,TklW
1477,José Luis Morales,ESP,FWMF,Villarreal,La Liga,35,1987,19,4,591,1,2.58,1.52,0,0.15,0,0.3
1478,José Luis Palomino,ARG,DF,Atalanta,Serie A,33,1990,6,5,392,1,0.68,0.45,0,0,0,0.68
1479,Douglas Luiz,BRA,MF,Aston Villa,Premier League,24,1998,20,16,1434,2,1.07,0.38,0.25,0.13,0.06,1.26
1480,Romelu Lukaku,BEL,FW,Inter,Serie A,29,1993,9,4,395,1,2.05,0.91,0.23,0,0,0
1481,Castello Lukeba,FRA,DF,Lyon,Ligue 1,20,2002,19,18,1637,1,0.27,0.11,0,0.16,0,0.44
1482,Dodi Lukebakio,BEL,FWMF,Hertha BSC,Bundesliga,25,1997,18,18,1483,7,2.36,0.91,0.06,0.36,0,0.42
1483,Saa Luki?,SRB,MF,Fulham,Premier League,26,1996,1,0,1,0,0,0,0,0,0,0
1484,Saa Luki?,SRB,MF,Torino,Serie A,26,1996,16,13,1195,2,1.13,0.23,0,0.3,0,1.05
1485,Andriy Lunin,UKR,GK,Real Madrid,La Liga,24,1999,5,5,450,0,0,0,0,0,0,0
1486,Andrey Lunyov,RUS,GK,Leverkusen,Bundesliga,31,1991,1,1,90,0,0,0,0,0,0,0
1487,Sebastiano Luperto,ITA,DF,Empoli,Serie A,26,1996,20,20,1714,1,0.32,0.16,0,0.16,0.11,0.47
1488,Lyanco,BRA,DF,Southampton,Premier League,26,1997,13,7,697,0,1.04,0.39,0,0.52,0,1.3
1489,Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,29,1993,16,10,894,1,1.62,0.51,0,0.3,0,0.51
1490,Youssouf M'Changama,COM,MF,Auxerre,Ligue 1,32,1990,18,6,618,0,1.59,0.14,0,0,0,0.87
1491,Awer Mabil,AUS,MFFW,Cádiz,La Liga,27,1995,5,1,165,0,1.67,0.56,0,0,0,0
1492,Alexis Mac Allister,ARG,MF,Brighton,Premier League,24,1998,18,17,1547,5,2.03,0.76,0,0.35,0,1.63
1493,Deiver Machado,COL,DFMF,Lens,Ligue 1,29,1993,19,16,1379,1,0.65,0.2,0.07,0.2,0.07,1.37
1494,Darwin Machís,VEN,FW,Valladolid,La Liga,30,1993,2,2,180,0,1.5,0.5,0.5,0,0,1
1495,James Maddison,ENG,MFFW,Leicester City,Premier League,26,1996,16,15,1273,9,3.19,1.06,0.35,0.43,0,0.78
1496,Noni Madueke,ENG,FW,Chelsea,Premier League,20,2002,2,1,112,0,1.67,0.83,0,0,0,1.67
1497,Pablo Maffeo,ESP,DF,Mallorca,La Liga,25,1997,19,18,1560,1,0.58,0.12,0.12,0.23,0.06,1.39
1498,Lisandro Magallán,ARG,DF,Elche,La Liga,29,1993,3,1,123,0,0,0,0,0,0,0.71
1499,Soungoutou Magassa,MLI,MF,Monaco,Ligue 1,19,2003,1,0,74,0,0,0,0,0,0,1.25
1500,Giulio Maggiore,ITA,MF,Salernitana,Serie A,24,1998,10,9,653,0,0.55,0,0,0.14,0,0.82
1501,Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,27,1995,9,4,426,0,0.85,0.21,0,0.64,0.21,1.49
1502,Hugo Magnetti,FRA,MF,Brest,Ligue 1,24,1998,18,10,955,0,1.04,0.38,0.09,0,0,1.7
1503,Yohann Magnin,FRA,MFDF,Clermont Foot,Ligue 1,25,1997,23,18,1661,0,0.54,0,0,0.27,0,1.95
1504,Harry Maguire,ENG,DF,Manchester Utd,Premier League,29,1993,9,4,391,0,0.23,0,0,0.7,0,0.7
1505,Jon Magunacelaya,ESP,MFFW,Real Sociedad,La Liga,22,2000,2,0,65,0,1.43,1.43,0,0,0,0
1506,Riyad Mahrez,ALG,FWMF,Manchester City,Premier League,31,1991,16,10,898,4,2.4,0.9,0.3,0.2,0,0.5
1507,Arne Maier,GER,MF,Augsburg,Bundesliga,24,1999,16,11,923,1,1.36,0.29,0,0.1,0,0.87
1508,Mike Maignan,FRA,GK,Milan,Serie A,27,1995,7,7,630,0,0,0,0,0,0,0
1509,Linton Maina,GER,FWMF,Köln,Bundesliga,23,1999,18,13,1101,2,1.89,0.66,0.41,0,0,0.66
1510,Ainsley Maitland-Niles,ENG,MFDF,Southampton,Premier League,25,1997,11,6,634,0,0,0,0,0.43,0,1.57
1511,Lovro Majer,CRO,MFFW,Rennes,Ligue 1,25,1998,17,9,801,1,1.8,0.34,0.22,0.22,0,0.79
1512,Jean-Victor Makengo,FRA,MF,Udinese,Serie A,24,1998,16,11,805,0,0.79,0,0.11,0.22,0,1.46
1513,Jean-Victor Makengo,FRA,MF,Lorient,Ligue 1,24,1998,2,1,129,0,0.71,0,0,0,0,0
1514,Béni Makouana,CGO,FWMF,Montpellier,Ligue 1,20,2002,8,1,198,0,2.73,0.45,0,0.45,0,0
1515,Nemanja Maksimovi?,SRB,MF,Getafe,La Liga,28,1995,12,10,711,0,0.51,0.13,0,0,0,0.51
1516,Tyrell Malacia,NED,DF,Manchester Utd,Premier League,23,1999,13,9,845,0,0.32,0.11,0,0.32,0,1.81
1517,Lorenzo Malagrida,ITA,MF,Sampdoria,Serie A,19,2003,1,0,10,0,10,10,0,10,0,0
1518,Daniel Maldini,ITA,FWMF,Spezia,Serie A,21,2001,9,1,322,1,1.94,1.11,0,0,0,0.56
1519,Youssef Maleh,ITA,MF,Fiorentina,Serie A,24,1998,7,4,297,0,2.12,0,0,0.61,0,0.3
1520,Youssef Maleh,ITA,MF,Lecce,Serie A,24,1998,5,2,177,0,1.5,0,0,1,0,2
1521,Donyell Malen,NED,FW,Dortmund,Bundesliga,24,1999,13,11,821,0,2.64,1.32,0.11,0,0,0.22
1522,Ruslan Malinovskyi,UKR,MFFW,Atalanta,Serie A,29,1993,15,5,553,1,3.11,0.98,0.33,0.33,0,1.31
1523,Ruslan Malinovskyi,UKR,MFFW,Marseille,Ligue 1,29,1993,6,4,365,1,3.41,0.73,0,0.49,0,0.49
1524,Hugo Mallo,ESP,DF,Celta Vigo,La Liga,31,1991,15,15,1203,0,0.9,0.3,0,0.22,0,0.97
1525,Mickael Malsa,MTQ,MF,Valladolid,La Liga,27,1995,5,0,69,0,0,0,0,0,0,2.5
1526,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22,2000,21,21,1890,0,0,0,0,0.05,0,0
1527,Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,23,1999,2,0,15,0,0,0,0,0,0,0
1528,Gianluca Mancini,ITA,DF,Roma,Serie A,26,1996,22,22,1821,0,0.64,0.1,0.05,0.2,0,0.69
1529,Steve Mandanda,FRA,GK,Rennes,Ligue 1,37,1985,20,20,1755,0,0,0,0.05,0.05,0,0
1530,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,29,1994,19,19,1655,0,0.33,0,0,0.16,0,2.01
1531,Aïssa Mandi,ALG,DF,Villarreal,La Liga,31,1991,9,5,441,0,0.2,0.2,0,0,0,1.02
1532,Rolando Mandragora,ITA,MF,Fiorentina,Serie A,25,1997,15,10,916,1,2.16,0.39,0.1,0.49,0,1.18
1533,Sadio Mané,SEN,FW,Bayern Munich,Bundesliga,30,1992,14,12,906,6,3.86,1.68,0.3,0.1,0,0.3
1534,Orel Mangala,BEL,MF,Nott'ham Forest,Premier League,24,1998,14,10,693,0,0.78,0.13,0,0.13,0,0.91
1535,Thomas Mangani,FRA,MF,Ajaccio,Ligue 1,35,1987,18,9,895,1,0.61,0,0.1,0.3,0,1.21
1536,Vito Mannone,ITA,GK,Lorient,Ligue 1,34,1988,9,8,798,0,0,0,0,0,0,0
1537,Javier Manquillo,ESP,DF,Newcastle Utd,Premier League,28,1994,1,0,11,0,0,0,0,0,0,0
1538,Myziane Maolida,FRA,FW,Reims,Ligue 1,23,1999,1,0,19,0,0,0,0,0,0,0
1539,Myziane Maolida,FRA,FWMF,Hertha BSC,Bundesliga,23,1999,3,1,95,0,0,0,0,0,0,0.91
1540,Faitout Maouassa,FRA,DFFW,Montpellier,Ligue 1,24,1998,20,14,1191,1,1.14,0.38,0.3,0,0,1.59
1541,Sekou Mara,FRA,FWMF,Southampton,Premier League,20,2002,14,3,327,0,3.89,0.56,0.28,0,0,1.67
1542,Maranhão,BRA,FWMF,Valencia,La Liga,26,1996,15,3,428,1,3.54,0.42,0,0.42,0.21,0.21
1543,Marcão,BRA,DF,Sevilla,La Liga,26,1996,4,4,360,0,0,0,0,0.5,0,0.5
1544,Solly March,ENG,FWDF,Brighton,Premier League,28,1994,21,21,1807,5,2.34,0.9,0.2,0.1,0,0.85
1545,Agustín Marchesín,ARG,GK,Celta Vigo,La Liga,34,1988,19,19,1710,0,0,0,0,0.11,0,0
1546,Vincent Marchetti,FRA,MF,Ajaccio,Ligue 1,25,1997,21,20,1655,0,1.41,0.38,0.05,0.22,0,1.14
1547,Riccardo Marchizza,ITA,DF,Sassuolo,Serie A,24,1998,4,1,107,0,0,0,0.83,0,0,0.83
1548,Gian Marco Ferrari,ITA,DF,Sassuolo,Serie A,30,1992,19,17,1529,1,0.29,0.06,0,0.29,0,0.76
1549,Emiliano Marcondes,DEN,MF,Bournemouth,Premier League,27,1995,1,0,9,0,0,0,0,0,0,0
1550,Óscar de Marcos,ESP,DF,Athletic Club,La Liga,33,1989,21,19,1619,0,0.06,0,0.22,0.17,0,0.89
1551,José Mari,ESP,MF,Cádiz,La Liga,35,1987,12,2,323,0,0.56,0,0,0.56,0,1.94
1552,Pablo Marí,ESP,DF,Monza,Serie A,29,1993,14,12,1138,1,0.4,0.16,0,0.16,0,0.71
1553,José María Giménez,URU,DF,Atlético Madrid,La Liga,28,1995,12,11,1005,0,1.25,0.36,0,0.45,0,0.89
1554,Mariano,DOM,FW,Real Madrid,La Liga,29,1993,5,0,44,0,6,0,0,2,0,0
1555,Pablo Marín,ESP,MFFW,Real Sociedad,La Liga,19,2003,7,3,324,0,1.94,1.11,0,0.28,0,1.39
1556,R?zvan Marin,ROU,MF,Empoli,Serie A,26,1996,21,16,1503,2,1.26,0.42,0.12,0.3,0,0.96
1557,Guillermo Maripán,CHI,DF,Monaco,Ligue 1,28,1994,18,17,1485,3,0.73,0.24,0,0.12,0.06,1.15
1558,Marlon,BRA,DF,Monza,Serie A,27,1995,17,13,1066,0,0.25,0.08,0,0.25,0,1.02
1559,Omar Marmoush,EGY,FW,Wolfsburg,Bundesliga,24,1999,19,8,790,3,2.95,1.02,0,0.23,0,0.8
1560,Marquinhos,BRA,MF,Arsenal,Premier League,19,2003,1,0,1,0,0,0,0,0,0,0
1561,Marquinhos,BRA,DF,Paris S-G,Ligue 1,28,1994,22,20,1824,2,0.59,0.2,0,0.1,0,0.59
1562,Luca Marrone,ITA,DF,Monza,Serie A,32,1990,2,2,135,0,0.67,0,0,0,0,0
1563,Eric Martel,GER,MF,Köln,Bundesliga,20,2002,16,11,1023,0,1.05,0.26,0,0.18,0,1.75
1564,Roger Martí,ESP,FW,Elche,La Liga,32,1991,12,8,655,0,0.82,0.27,0.14,0.27,0,0.27
1565,Roger Martí,ESP,FW,Cádiz,La Liga,32,1991,3,2,157,0,0.59,0,0,0,0,1.76
1566,Anthony Martial,FRA,FW,Manchester Utd,Premier League,27,1995,9,6,458,3,2.16,0.98,0.39,0,0,0
1567,Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25,1997,17,17,1421,3,0.82,0.25,0.13,0.06,0,1.39
1568,Ander Martin,ESP,MFFW,Real Sociedad,La Liga,22,2000,3,0,41,0,0,0,0,0,0,4
1569,Andrés Martín,ESP,FW,Rayo Vallecano,La Liga,23,1999,4,2,133,0,1.33,1.33,0,0.67,0,1.33
1570,Iván Martín,ESP,MFFW,Girona,La Liga,23,1999,9,6,555,2,1.29,0.48,0,0,0,0.32
1571,Jonas Martin,FRA,MF,Lille,Ligue 1,32,1990,9,1,191,0,0.48,0,0,0.95,0,2.86
1572,Martinelli,BRA,FW,Arsenal,Premier League,21,2001,21,21,1726,7,2.71,0.94,0.1,0.1,0,0.52
1573,Arnau Martinez,ESP,DF,Girona,La Liga,19,2003,17,16,1351,2,1,0.13,0.07,0.4,0,1.27
1574,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,30,1992,19,19,1654,0,0,0,0,0.16,0,0
1575,Iñigo Martínez,ESP,DF,Athletic Club,La Liga,31,1991,9,9,810,0,0.78,0.11,0,0.11,0,0.33
1576,Lautaro Martínez,ARG,FW,Inter,Serie A,25,1997,21,19,1675,12,3.92,1.51,0.16,0.05,0,0.32
1577,Lisandro Martínez,ARG,DF,Manchester Utd,Premier League,25,1998,20,18,1568,1,0.23,0.06,0,0.23,0,0.98
1578,Lucas Martínez Quarta,ARG,DF,Fiorentina,Serie A,26,1996,15,13,1181,1,1.22,0.61,0.08,0.15,0,1.98
1579,Roger Martínez,ESP,DF,Espanyol,La Liga,18,2004,1,0,7,0,10,0,0,0,0,0
1580,Gelson Martins,POR,MFFW,Monaco,Ligue 1,27,1995,10,3,335,0,3.24,0.81,0,0,0,2.16
1581,Adam Marui?,MNE,DF,Lazio,Serie A,30,1992,22,21,1918,0,0.52,0.28,0.05,0.19,0,0.89
1582,Omar Mascarell,ESP,MF,Elche,La Liga,30,1993,18,18,1547,0,0.29,0.06,0,0.29,0,0.81
1583,Adam Masina,MAR,DF,Udinese,Serie A,29,1994,4,4,304,1,0.29,0.29,0,0,0,0.88
1584,Jordi Masip,ESP,GK,Valladolid,La Liga,34,1989,15,15,1350,0,0,0,0,0.13,0,0
1585,Erhan Maovi?,SRB,DFMF,Bochum,Bundesliga,24,1998,16,10,1039,2,0.35,0.26,0,0.09,0,1.39
1586,Han-Noah Massengo,FRA,MFDF,Auxerre,Ligue 1,21,2001,2,1,107,0,0.83,0,0,0,0,1.67
1587,Yanis Massolin,FRA,MF,Clermont Foot,Ligue 1,20,2002,4,0,48,0,0,0,0,0,0,2
